iter	Passed	Remaining
0	10	5384
1	22	5565
2	33	5595
3	45	5674
4	57	5667
5	68	5652
6	79	5634
7	92	5687
8	106	5811
9	118	5816
10	130	5809
11	142	5803
12	154	5802
13	166	5793
14	178	5778
15	191	5796
16	203	5771
17	214	5743
18	225	5716
19	237	5692
20	250	5724
21	262	5702
22	273	5681
23	285	5660
24	296	5641
25	308	5620
26	319	5600
27	331	5580
28	342	5560
29	354	5556
30	366	5539
31	377	5519
32	388	5502
33	400	5485
34	411	5470
35	423	5454
36	434	5438
37	445	5421
38	457	5405
39	468	5390
40	480	5374
41	491	5359
42	502	5344
43	514	5329
44	525	5314
45	537	5301
46	548	5289
47	560	5275
48	571	5261
49	583	5247
50	594	5232
51	605	5219
52	617	5207
53	628	5194
54	640	5180
55	651	5166
56	663	5153
57	674	5139
58	685	5126
59	697	5113
60	708	5099
61	719	5086
62	731	5072
63	742	5059
64	754	5046
65	765	5033
66	776	5019
67	788	5007
68	800	4997
69	811	4987
70	823	4975
71	835	4963
72	846	4952
73	860	4952
74	874	4953
75	888	4954
76	903	4964
77	919	4972
78	932	4970
79	943	4955
80	955	4942
81	966	4928
82	978	4914
83	989	4900
84	1000	4886
85	1012	4873
86	1023	4860
87	1035	4846
88	1047	4835
89	1059	4826
90	1071	4817
91	1083	4805
92	1096	4798
93	1108	4787
94	1119	4773
95	1131	4760
96	1142	4747
97	1154	4735
98	1166	4723
99	1178	4714
100	1191	4708
101	1207	4709
102	1224	4719
103	1237	4712
104	1250	4703
105	1262	4692
106	1274	4679
107	1285	4665
108	1297	4653
109	1309	4642
110	1321	4631
111	1333	4619
112	1345	4609
113	1357	4597
114	1370	4587
115	1383	4578
116	1395	4567
117	1407	4555
118	1419	4544
119	1434	4541
120	1446	4530
121	1458	4518
122	1471	4509
123	1483	4498
124	1498	4496
125	1511	4485
126	1522	4472
127	1535	4461
128	1546	4448
129	1558	4434
130	1570	4423
131	1582	4411
132	1594	4398
133	1605	4385
134	1617	4373
135	1628	4359
136	1640	4346
137	1651	4333
138	1663	4321
139	1675	4308
140	1689	4301
141	1702	4291
142	1715	4282
143	1726	4269
144	1739	4258
145	1752	4248
146	1765	4238
147	1777	4226
148	1789	4215
149	1803	4207
150	1818	4202
151	1833	4197
152	1848	4191
153	1863	4187
154	1878	4181
155	1890	4168
156	1902	4156
157	1913	4142
158	1926	4132
159	1939	4120
160	1950	4107
161	1962	4095
162	1975	4084
163	1986	4070
164	1998	4057
165	2011	4047
166	2024	4036
167	2036	4023
168	2047	4010
169	2061	4002
170	2074	3991
171	2087	3979
172	2099	3968
173	2112	3957
174	2124	3946
175	2136	3933
176	2148	3920
177	2160	3907
178	2172	3896
179	2185	3885
180	2198	3875
181	2213	3867
182	2226	3856
183	2240	3847
184	2255	3840
185	2269	3830
186	2281	3819
187	2294	3807
188	2306	3795
189	2320	3785
190	2332	3773
191	2345	3762
192	2358	3752
193	2377	3749
194	2389	3737
195	2402	3725
196	2414	3713
197	2425	3700
198	2437	3686
199	2450	3675
200	2462	3662
201	2473	3649
202	2485	3636
203	2496	3622
204	2508	3609
205	2519	3596
206	2531	3583
207	2543	3570
208	2555	3557
209	2566	3544
210	2578	3531
211	2589	3518
212	2603	3508
213	2616	3496
214	2628	3484
215	2639	3470
216	2651	3458
217	2663	3445
218	2675	3432
219	2688	3421
220	2700	3409
221	2714	3398
222	2726	3386
223	2737	3373
224	2749	3360
225	2761	3347
226	2772	3334
227	2784	3322
228	2797	3310
229	2811	3300
230	2823	3287
231	2834	3274
232	2846	3261
233	2859	3250
234	2870	3237
235	2882	3224
236	2896	3214
237	2908	3201
238	2920	3189
239	2932	3176
240	2944	3164
241	2956	3151
242	2967	3138
243	2978	3125
244	2990	3112
245	3002	3099
246	3013	3086
247	3025	3073
248	3037	3061
249	3048	3048
250	3059	3035
251	3071	3023
252	3083	3010
253	3095	2998
254	3107	2986
255	3120	2973
256	3132	2962
257	3145	2950
258	3157	2937
259	3169	2926
260	3183	2914
261	3197	2904
262	3209	2892
263	3223	2881
264	3237	2870
265	3250	2859
266	3263	2848
267	3283	2842
268	3301	2835
269	3314	2823
270	3330	2814
271	3350	2808
272	3364	2797
273	3377	2786
274	3391	2774
275	3403	2762
276	3415	2749
277	3429	2739
278	3443	2727
279	3455	2714
280	3466	2701
281	3478	2688
282	3489	2675
283	3501	2663
284	3514	2651
285	3528	2640
286	3540	2627
287	3553	2615
288	3565	2603
289	3577	2590
290	3590	2578
291	3603	2566
292	3615	2554
293	3626	2541
294	3638	2528
295	3650	2515
296	3662	2503
297	3673	2490
298	3685	2477
299	3697	2465
300	3709	2452
301	3720	2439
302	3732	2426
303	3744	2414
304	3755	2401
305	3768	2389
306	3781	2377
307	3793	2364
308	3805	2351
309	3816	2339
310	3828	2326
311	3840	2314
312	3852	2301
313	3863	2288
314	3875	2275
315	3887	2263
316	3898	2250
317	3910	2237
318	3922	2225
319	3934	2213
320	3947	2201
321	3959	2188
322	3971	2176
323	3984	2164
324	3997	2152
325	4009	2140
326	4022	2128
327	4034	2115
