feature,mean_abs_shap,fold
f324,0.0488831030128948,0
f556,0.04142992565225643,0
f108,0.03217548867325939,0
f361,0.02890842427286397,0
f157,0.02465282221276598,0
f444,0.02368056954910159,0
f332,0.019673759764332714,0
f243,0.013059212940106108,0
f29,0.008913422122447123,0
f288,0.00807338743684261,0
f87,0.007027474124361612,0
f105,0.0064446303128399066,0
f16,0.006250172642841156,0
f111,0.005935545869833574,0
f210,0.004706758935685678,0
f175,0.004443652515053381,0
f566,0.0021143737939237892,0
f229,0.0010956354170606546,0
f471,0.0005553247380104771,0
f204,2.976866643226994e-05,0
f154,2.822228761755613e-06,0
f529,2.8062240180946886e-06,0
f456,2.798761806756256e-06,0
f311,2.7442592955173596e-06,0
f401,2.7299778198507097e-06,0
f183,2.4597831803016557e-06,0
f260,2.3977908818521854e-06,0
f247,2.3807130175147394e-06,0
f202,2.3173677274501704e-06,0
f123,2.2830085994740568e-06,0
f235,2.254804390224713e-06,0
f453,0.0,0
f454,0.0,0
f455,0.0,0
f457,0.0,0
f452,0.0,0
f458,0.0,0
f459,0.0,0
f451,0.0,0
f450,0.0,0
f449,0.0,0
f448,0.0,0
f460,0.0,0
f446,0.0,0
f445,0.0,0
f443,0.0,0
f442,0.0,0
f441,0.0,0
f440,0.0,0
f439,0.0,0
f438,0.0,0
f437,0.0,0
f436,0.0,0
f435,0.0,0
f447,0.0,0
f482,0.0,0
f483,0.0,0
f484,0.0,0
f485,0.0,0
f486,0.0,0
f487,0.0,0
f488,0.0,0
f489,0.0,0
f490,0.0,0
f467,0.0,0
f492,0.0,0
f493,0.0,0
f494,0.0,0
f495,0.0,0
f496,0.0,0
f497,0.0,0
f498,0.0,0
f499,0.0,0
f500,0.0,0
f491,0.0,0
f461,0.0,0
f462,0.0,0
f463,0.0,0
f464,0.0,0
f465,0.0,0
f466,0.0,0
f434,0.0,0
f468,0.0,0
f469,0.0,0
f481,0.0,0
f472,0.0,0
f473,0.0,0
f474,0.0,0
f475,0.0,0
f476,0.0,0
f477,0.0,0
f478,0.0,0
f479,0.0,0
f480,0.0,0
f470,0.0,0
f370,0.0,0
f371,0.0,0
f372,0.0,0
f373,0.0,0
f374,0.0,0
f375,0.0,0
f376,0.0,0
f377,0.0,0
f378,0.0,0
f429,0.0,0
f380,0.0,0
f381,0.0,0
f382,0.0,0
f383,0.0,0
f384,0.0,0
f385,0.0,0
f386,0.0,0
f387,0.0,0
f388,0.0,0
f389,0.0,0
f379,0.0,0
f348,0.0,0
f349,0.0,0
f350,0.0,0
f351,0.0,0
f352,0.0,0
f353,0.0,0
f354,0.0,0
f355,0.0,0
f356,0.0,0
f369,0.0,0
f358,0.0,0
f359,0.0,0
f360,0.0,0
f362,0.0,0
f363,0.0,0
f364,0.0,0
f365,0.0,0
f366,0.0,0
f367,0.0,0
f368,0.0,0
f357,0.0,0
f414,0.0,0
f415,0.0,0
f416,0.0,0
f417,0.0,0
f418,0.0,0
f419,0.0,0
f420,0.0,0
f421,0.0,0
f422,0.0,0
f390,0.0,0
f424,0.0,0
f425,0.0,0
f426,0.0,0
f427,0.0,0
f428,0.0,0
f501,0.0,0
f430,0.0,0
f431,0.0,0
f432,0.0,0
f433,0.0,0
f423,0.0,0
f391,0.0,0
f392,0.0,0
f393,0.0,0
f394,0.0,0
f395,0.0,0
f396,0.0,0
f397,0.0,0
f398,0.0,0
f399,0.0,0
f400,0.0,0
f413,0.0,0
f403,0.0,0
f404,0.0,0
f405,0.0,0
f406,0.0,0
f407,0.0,0
f408,0.0,0
f409,0.0,0
f410,0.0,0
f411,0.0,0
f412,0.0,0
f402,0.0,0
f610,0.0,0
f611,0.0,0
f612,0.0,0
f613,0.0,0
f614,0.0,0
f615,0.0,0
f616,0.0,0
